GEOID,Total_HH,year,No_Vehicle_Avail,pct_no_veh_avail,No_Vehicle_Score,no_walkshed,Walkability_Score,Availability,pop_below_185,total_pop,pct_below_185,Access,obesity_crudeprev,chd_crudeprev,diabetes_crudeprev,obesity_norm,chd_norm,diabetes_norm,Utilization,HFPA,Priority.Area,Priority.Class
42003270800,1323,2020,28,47.25,3.627371464,86.74,8.674,5.609261991,491,2408,0.203903654,2.141177522,30.2,7.3,10.5,3.773584906,3.69047619,3.70212766,3.735837044,11.48627656,Not Anomalous,0
42003562300,1305,2020,173,7.543352601,0.498108079,87.25,8.725,2.084704534,1419,2656,0.534262048,5.610247111,41.7,11.3,18.7,7.389937107,6.071428571,7.191489362,7.682611809,15.37756345,1 SD Above Mean,1
42003070500,1690,2020,300,5.633333333,0.347580302,14.24,1.424,0.703529922,782,2978,0.262592344,2.757463203,20.5,2.2,3.7,0.72327044,0.654761905,0.808510638,0,3.460993124,1 SD Below Mean,0
42003050600,843,2020,32,26.34375,1.979759114,99.58,9.958,4.440094735,751,2139,0.351098644,3.686861459,35,8.5,15.9,5.283018868,4.404761905,6,5.616972602,13.7439288,1 SD Above Mean,1
42003110600,1129,2020,126,8.96031746,0.609778456,92.27,9.227,2.372008813,332,2356,0.140916808,1.479757206,27.4,5.2,8.4,2.893081761,2.44047619,2.808510638,2.47770054,6.329466559,Not Anomalous,0
42003561900,945,2020,142,6.654929577,0.428091852,100,10,2.069038067,1337,2050,0.652195122,6.848653785,46.4,11.9,24.2,8.867924528,6.428571429,9.531914894,9.419784575,18.33747643,1 SD Above Mean,1
42003070800,1566,2020,166,9.43373494,0.647088278,9.32,0.932,0.776586296,500,2531,0.197550375,2.074462198,20.8,3.1,4.8,0.817610063,1.19047619,1.276595745,0.456863056,3.30791155,1 SD Below Mean,0
42003190300,1153,2020,9,128.1111111,10,100,10,10,407,1894,0.214889124,2.256535138,25.1,5.6,7.6,2.169811321,2.678571429,2.468085106,2.134222647,14.39075779,1 SD Above Mean,1
42003202200,1226,2020,53,23.13207547,1.72664846,100,10,4.15529597,830,2699,0.307521304,3.229258964,35.8,7.9,12.8,5.534591195,4.047619048,4.680851064,5.024241007,12.40879594,Not Anomalous,0
42003281500,587,2020,30,19.56666667,1.445660163,100,10,3.802183797,332,1412,0.235127479,2.469056641,30.1,6.4,9.4,3.742138365,3.154761905,3.234042553,3.305139642,9.576380081,Not Anomalous,0
42003310200,1483,2020,112,13.24107143,0.947142789,100,10,3.077568504,846,3145,0.26899841,2.824732842,28.3,6.8,9.3,3.176100629,3.392857143,3.191489362,3.151000876,9.053302221,Not Anomalous,0
42003101800,1324,2020,65,20.36923077,1.508909886,93.55,9.355,3.757106864,341,2632,0.129559271,1.360492525,28,6,9.2,3.081761006,2.916666667,3.14893617,2.895937444,8.013536833,Not Anomalous,0
42003090200,1503,2020,153,9.823529412,0.677807809,56.57,5.657,1.958151878,594,2721,0.218302095,2.292374502,26.6,7.3,9.5,2.641509434,3.69047619,3.276595745,3.08781957,7.33834595,Not Anomalous,0
42003080400,917,2020,246,3.727642276,0.19739363,78.78,7.878,1.247023263,757,1578,0.479721166,5.037517254,24.5,3.8,5.9,1.981132075,1.607142857,1.744680851,1.309014386,7.593554902,Not Anomalous,0
42003140500,1178,2020,50,23.56,1.760373003,57.33,5.733,3.176825212,262,1958,0.13381001,1.405129235,31.4,4.9,10.8,4.150943396,2.261904762,3.829787234,3.351607537,7.933561985,Not Anomalous,0
42003140200,993,2020,105,9.457142857,0.648933046,99.16,9.916,2.536694717,555,2500,0.222,2.331205937,20.8,3.8,5.7,0.817610063,1.607142857,1.659574468,0.789542646,5.657443299,1 SD Below Mean,0
42003050100,848,2020,125,6.784,0.438263835,100,10,2.093475186,687,1569,0.437858509,4.597920517,48.4,12.4,25.3,9.496855346,6.726190476,10,10,16.6913957,1 SD Above Mean,1
42003040500,1188,2020,310,3.832258065,0.205638354,57.1,5.71,1.083602788,2261,3065,0.737683524,7.746361306,26.2,2.6,3.9,2.51572327,0.892857143,0.893617021,0.880183971,9.710148065,Not Anomalous,0
42003030500,1512,2020,250,6.048,0.38026,100,10,1.95002564,1517,2655,0.571374765,5.99996506,42.6,9.9,20.5,7.672955975,5.238095238,7.957446809,7.7723266,15.7223173,1 SD Above Mean,1
42003020300,976,2020,96,10.16666667,0.704850305,43.82,4.382,1.757456695,192,1368,0.140350877,1.473814406,23.4,2.8,4.9,1.635220126,1.011904762,1.319148936,0.740428361,3.971699463,1 SD Below Mean,0
42003261400,1083,2020,107,10.12149533,0.701290372,100,10,2.648188761,1049,2337,0.448866068,4.713510098,39.7,8.8,16.8,6.761006289,4.583333333,6.382978723,6.465489371,13.82718823,1 SD Above Mean,1
42003260200,959,2020,121,7.925619835,0.528234392,100,10,2.298335031,786,2157,0.364394993,3.826485456,31.9,6.4,10.3,4.308176101,3.154761905,3.617021277,3.69996266,9.824783147,Not Anomalous,0
42003980000,0,2020,0,NA,NA,NA,NA,NA,0,0,NA,NA,25,4.8,7.5,2.13836478,2.202380952,2.425531915,1.90532487,NA,Not Anomalous,0
42003980500,23,2020,0,NA,NA,NA,NA,NA,5,23,0.217391304,2.282810357,NA,NA,NA,NA,NA,NA,NA,NA,Not Anomalous,0
42003981000,0,2020,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not Anomalous,0
42003141400,2397,2020,185,12.95675676,0.924736075,86.71,8.671,2.831675566,779,5160,0.150968992,1.585314464,22.8,5.7,7.6,1.446540881,2.738095238,2.468085106,1.858081549,6.275071578,Not Anomalous,0
42003141100,584,2020,24,24.33333333,1.821319062,100,10,4.267691487,257,1292,0.198916409,2.088806815,27.3,6.6,9.3,2.86163522,3.273809524,3.191489362,2.970644761,9.327143062,Not Anomalous,0
42003090300,917,2020,188,4.877659574,0.288025987,0.27,0.027,0.088185609,391,1741,0.224583573,2.358335846,28.9,6.2,9.1,3.364779874,3.035714286,3.106382979,3.045507162,5.492028618,1 SD Below Mean,0
42003080600,1233,2020,200,6.165,0.389480718,5.25,0.525,0.452191748,352,2263,0.155545736,1.633374516,23.1,3.3,5.3,1.540880503,1.30952381,1.489361702,0.895813774,2.981380038,1 SD Below Mean,0
42003080200,1034,2020,159,6.503144654,0.416129749,43.46,4.346,1.344804778,527,1876,0.280916844,2.949887456,28.2,6.2,8.4,3.144654088,3.035714286,2.808510638,2.830002382,7.124694616,Not Anomalous,0
42003070900,2443,2020,644,3.793478261,0.202582135,73.93,7.393,1.223801342,1679,4250,0.395058824,4.148484121,21.6,4.1,6.2,1.06918239,1.785714286,1.872340426,1.057014881,6.429300343,Not Anomalous,0
